Year,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Tave_wt,Tave_sp,Tave_sm,Tave_at
1966,-13.2,-1.5,8.7,-0.7,177,301,290,243,-13.2,-1.5,8.7,-0.7
1967,-9.6,-5.4,10.4,1.6,188,528,143,154,-9.6,-5.4,10.4,1.6
1968,-10.5,-1.5,8.7,-0.4,380,374,269,254,-10.5,-1.5,8.7,-0.4
1969,-18.9,-0.9,9.5,0,445,311,328,172,-18.9,-0.9,9.5,0
1970,-10.2,-2.8,11.7,-2.2,232,417,209,186,-10.2,-2.8,11.7,-2.2
1971,-12.9,-2,10.9,-1.2,409,312,188,175,-12.9,-2,10.9,-1.2
1972,-16.4,-1.9,9.8,-2.2,488,402,221,171,-16.4,-1.9,9.8,-2.2
1973,-12.1,-1,10.2,-2.3,277,288,222,168,-12.1,-1,10.2,-2.3
1974,-10.3,-2.5,9.7,0.9,318,451,224,205,-10.3,-2.5,9.7,0.9
1975,-12.1,-4.5,9.5,-0.8,274,351,293,157,-12.1,-4.5,9.5,-0.8
1976,-9.4,-1.3,9,0.7,353,228,317,146,-9.4,-1.3,9,0.7
1977,-7.8,-1,9.5,-1.8,189,219,238,135,-7.8,-1,9.5,-1.8
1978,-15,-1.8,9.6,-1.1,334,446,281,262,-15,-1.8,9.6,-1.1
1979,-16.4,-2.2,10.2,0.4,257,306,198,138,-16.4,-2.2,10.2,0.4
1980,-11.4,-0.6,8.7,0.7,324,335,304,223,-11.4,-0.6,8.7,0.7
1981,-8.9,-0.3,9.4,1,246,381,267,117,-8.9,-0.3,9.4,1
1982,-15,-3.8,9.6,-1.3,220,317,188,190,-15,-3.8,9.6,-1.3
1983,-7.7,-1.5,10.2,-0.5,207,319,202,141,-7.7,-1.5,10.2,-0.5
1984,-11.1,-1.7,10.4,-3,248,279,145,273,-11.1,-1.7,10.4,-3
1985,-13.8,-0.3,10,-5.7,204,293,191,397,-13.8,-0.3,10,-5.7
1986,-9,0.4,10.2,-1.8,218,315,249,337,-9,0.4,10.2,-1.8
1987,-7.1,0.5,9.8,2.4,91,247,301,104,-7.1,0.5,9.8,2.4
1988,-10.2,0.4,11,0.9,146,272,205,140,-10.2,0.4,11,0.9
1989,-12.4,-2.7,10,-0.2,337,282,238,183,-12.4,-2.7,10,-0.2
1990,-9.9,-1.3,10,0,273,400,236,186,-9.9,-1.3,10,0
1991,-10.8,-2,10.2,-1.1,252,342,233,143,-10.8,-2,10.2,-1.1
1992,-5.8,0.9,9,-0.8,112,303,321,267,-5.8,0.9,9,-0.8
1993,-14.7,-0.1,7.5,-1.2,231,310,390,147,-14.7,-0.1,7.5,-1.2
1994,-10.9,0.7,10.7,-0.3,170,259,204,211,-10.9,0.7,10.7,-0.3
1995,-10,-1.8,9.2,-0.6,134,340,289,257,-10,-1.8,9.2,-0.6
1996,-13.9,-3.4,10.3,-3,364,431,167,333,-13.9,-3.4,10.3,-3
1997,-12.8,-2.6,9.9,0.4,340,405,275,168,-12.8,-2.6,9.9,0.4
1998,-9.4,-0.5,11,1.2,190,493,315,173,-9.4,-0.5,11,1.2
1999,-9.4,-1.4,8.9,0.7,242,380,338,125,-9.4,-1.4,8.9,0.7
2000,-9.7,-1.8,9,-1.8,222,278,244,117,-9.7,-1.8,9,-1.8
2001,-12.9,-1.9,10,0.3,145,239,219,180,-12.9,-1.9,10,0.3
2002,-11,-6.4,8.9,-1.2,201,315,189,163,-11,-6.4,8.9,-1.2
2003,-9.8,-2.9,10.7,-1.8,213,453,208,214,-9.8,-2.9,10.7,-1.8
2004,-11,-1.1,9.5,-1.2,161,324,327,206,-11,-1.1,9.5,-1.2
2005,-10.2,-1.1,8.5,-0.9,219,166,378,262,-10.2,-1.1,8.5,-0.9
2006,-9.4,-1.5,10.5,-1.4,191,285,265,251,-9.4,-1.5,10.5,-1.4
2007,-10.1,-0.7,10.7,-0.8,196,443,248,165,-10.1,-0.7,10.7,-0.8
2008,-11.3,-2.8,9,0.2,208,351,236,162,-11.3,-2.8,9,0.2
2009,-12.3,-3.1,9.1,-0.3,315,254,248,147,-12.3,-3.1,9.1,-0.3
2010,-11.4,-1.8,8.6,-1.4,226,367,300,212,-11.4,-1.8,8.6,-1.4
2011,-13.7,-3.8,9.1,-0.3,284,473,208,150,-13.7,-3.8,9.1,-0.3
2012,-10.1,-1.7,9.8,-0.9,110,409,314,207,-10.1,-1.7,9.8,-0.9
2013,-9.6,-2.6,10.1,-0.8,124,353,250,204,-9.6,-2.6,10.1,-0.8
2014,-12.4,-3.1,10,-0.7,195,433,260,250,-12.4,-3.1,10,-0.7
2015,-8.8,-0.4,10.5,-0.6,209,186,178,240,-8.8,-0.4,10.5,-0.6
