"","MinBin","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at"
"13",1960,-6.82,0.78,11.5,1.18,-15.76,-9.71999999999999,1.78,-7.3,-11.3,-4.5,6.66,-3.06,372,222.6,187.2,296,4.32,17.78,22,8.18,1094.2,508.8,8.2,416.8,2.6,15.4,232,38.6,2693,2070.2,1045.2,1917.6,0,0,0.6,0.2,0.6,4,61,11.6,360.8,207.2,40.6,238.6,0,32.6,212.2,37.2,0,14.8,48.8,1.8,61.4,58.6,67.8,67
"14",1965,-9.54,0.78,11.36,1.1,-18.22,-9.91999999999999,1.7,-6.62000000000001,-13.88,-4.56,6.54,-2.74,472,248.2,202.4,251.4,4.16,18.04,22.28,8.02,1210.6,519.2,9.6,404.4,1.6,16.8,229.4,44,2817.2,2077.6,1055.6,1891.6,0,0,0.6,0.2,0,4,60,14.2,466.4,226.4,46.6,220.8,0,44.2,209.6,32.2,0,3.4,31.6,4,61.6,57.8,67.8,70.2
"15",1970,-9.36,0.96,12.04,-0.0600000000000011,-18.3,-9.55999999999999,1.96,-8.02000000000001,-13.82,-4.32,7,-4.02,460.8,234.8,178,265.4,4,17.94,22.7,8.36,1242.2,499,7,465.4,1.8,18,255.2,25,2845.4,2053.8,1013.6,2006.6,0,0,0.8,0,0.2,4.4,62.4,9.2,457.4,220,39.6,224.4,0,47.4,217.6,27.4,0,13.8,71.6,0,60.6,58.4,67,68.4
"16",1975,-8.46,0.76,10.9,1.16,-17.22,-9.69999999999999,2.18,-7.18,-12.84,-4.44,6.54,-3,302.4,166,229.2,239.4,4.12,17.86,22.2,8.66,1183.2,509,9.2,420.8,2.4,16.2,227.2,39.2,2783.6,2068.4,1054.4,1913.2,0,0,0.6,0,0.4,4.4,64.4,14,296,149.6,48.2,183.2,0,41.8,199.8,36.8,0,7.8,20.8,3.4,61.4,58.8,70.8,67.6
"17",1980,-7.64,1.42,11.06,0.559999999999999,-16.2,-9.19999999999999,1.88,-7.3,-11.9,-3.86,6.46,-3.38,387.4,212.4,248.4,235.8,4.12,17.46,21.18,8.56,1138.4,469.8,9,421.4,2.8,20.4,223,26.4,2738,2014.8,1060.8,1946,0,0,0.6,0,0.6,5,62.6,10,376.8,195,54.2,152.2,0,36,203.8,27.4,0,11.8,38.2,0,62.4,58.6,69.2,68.8
"18",1985,-7.38,2.24,11.5,0.619999999999999,-15.94,-8.51999999999999,1.9,-7.66000000000001,-11.66,-3.14,6.68,-3.52,289,240.4,241.8,248.6,4.18,17.82,21.8,8.84,1003.4,415.6,6.2,450.8,3,24,225.4,33.6,2602,1947,1042.2,1958.6,0,0,1,0.2,0.4,5.8,62.8,10.6,277.2,219.8,47.2,196.8,0,58.6,210.6,30.2,0,20,33.2,0,62.6,58.8,68.4,67.4
"19",1990,-7,2.86,11.32,1.4,-15.62,-8.31999999999999,2.42,-7.22000000000001,-11.3,-2.72,6.86,-2.92,286.2,248.8,269.4,227.8,4.1,17.52,21.12,8.78,1053.6,386.4,7,412.6,3.8,27.2,244.8,43.8,2648.2,1909.6,1025.4,1905.8,0,0.2,0.8,0.4,0.6,7,66.8,12.4,266.8,216.6,52.8,191.2,0,56.6,203.2,41,0,0.8,23.8,7,62.6,57.4,70.4,66.6
"20",1995,-7.74,1.44,11.36,1.04,-16.12,-9.33999999999999,2.12,-7.04,-11.94,-3.94,6.76,-2.98,316.2,252.6,238.6,356.4,4.26,18.22,22.6,8.52,1064,477.4,8.2,419.4,2.8,22.6,243.4,37.8,2663.8,2021.4,1035.8,1912.8,0,0.2,1,0.2,0.6,5.2,63.4,11.8,309.2,231.4,59,290.2,0,37.6,206,39.4,0,15.2,33,3.4,63.4,58.4,69.6,68.8
"21",2000,-6.7,0.319999999999999,12.02,1.08,-15.1,-9.87999999999999,1.82,-7.34000000000001,-10.92,-4.78,6.92,-3.12,229.2,257.6,216.2,237.8,4.22,18.08,22.74,8.3,1007.2,530.8,7.6,419.6,2.6,13.8,248.8,32,2610.8,2097.6,1019.8,1924.8,0,0,0.8,0,0.6,3.6,61.6,11.4,222,244,42,169.2,0,11.6,218.8,36,0,5.4,40.6,0.2,63.6,59.8,66.2,67
"22",2005,-7.02,1.18,11.32,0.819999999999999,-16,-9.33999999999999,1.5,-7.06,-11.52,-4.08,6.42,-3.1,300.6,208,230.8,237.2,4.18,18.26,22.3,8.08000000000001,1096.8,478.6,9,412.4,2.2,18.8,217.8,35,2698.8,2031.8,1066.6,1924.4,0,0,0.6,0.2,0.2,4.6,58,11.2,291.6,192.8,56,186.4,0,45.8,210.4,37.8,0,14.4,26.8,0.8,60.8,58.8,67,69
"23",2010,-7.62,0.459999999999999,11.5,1.06,-16.26,-9.85999999999999,1.92,-7.52,-11.94,-4.7,6.72,-3.24,214.8,284.6,207.8,226.2,0.860000000000002,3.58,4.3,1.64000000000001,1039.2,524,9,456.4,2.8,14.8,240.4,42,2640,2089.6,1038.8,1935,0,0,0.6,0.2,0.6,3.6,62.6,12.4,207.8,269.4,55.8,138,0,33,209.6,40.8,0,0.8,51.2,6.2,62.4,59.2,68.2,66.6
