,SiteID,TreeName,Species,Maturity,EstYear,StudyArea,Elev.x,Elev.y
94,FTA,C1_236,ABLA,MAT,1922,KC,-25,2304.6
95,FTA,C1_237,ABLA,MAT,1941,KC,-25,2304.6
96,FTA,C1_238,ABLA,SAP,1881,KC,-25,2304.6
97,FTA,C1_239,ABLA,MAT,1915,KC,-25,2304.6
98,FTA,C1_240,ABLA,SAP,1888,KC,-25,2304.6
99,FTA,C1_253,ABLA,MAT,1933,KC,-25,2304.6
100,FTA,C1_254,ABLA,MAT,1918,KC,-25,2304.6
101,FTA,C2_119,ABLA,SAP,1946,KC,-25,2304.6
102,FTA,C2_120,LALY,MAT,1932,KC,-25,2304.6
103,FTA,C2_121,PIEN,MAT,1955,KC,-25,2304.6
104,FTA,C2_122,LALY,MAT,1958,KC,-25,2304.6
105,FTA,C2_123,ABLA,SAP,1953,KC,-25,2304.6
106,FTA,C2_192,LALY,MAT,1942,KC,-25,2304.6
107,FTA,C2_193,ABLA,MAT,1960,KC,-25,2304.6
108,FTA,C2_194,ABLA,MAT,1945,KC,-25,2304.6
109,FTA,C2_195,LALY,SAP,1960,KC,-25,2304.6
110,FTA,C2_196,ABLA,SAP,1955,KC,-25,2304.6
111,FTA,C2_197,LALY,SAP,1945,KC,-25,2304.6
112,FTA,C2_198,ABLA,MAT,1952,KC,-25,2304.6
113,FTA,C2_199,LALY,MAT,1961,KC,-25,2304.6
114,FTA,C2_200,LALY,MAT,1952,KC,-25,2304.6
115,FTA,C2_201,LALY,SAP,1957,KC,-25,2304.6
116,FTA,C2_202,LALY,MAT,1939,KC,-25,2304.6
117,FTA,C2_446,ABLA,SEE,1976,KC,-25,2304.6
118,FTA,C2_447,ABLA,SEE,1978,KC,-25,2304.6
119,FTA,C2_448,ABLA,SEE,1989,KC,-25,2304.6
120,FTA,C2_449,LALY,SEE,1985,KC,-25,2304.6
121,FTA,C3_179,ABLA,SAP,1955,KC,-25,2304.6
122,FTA,C3_180,ABLA,SAP,1975,KC,-25,2304.6
123,FTA,C3_181,ABLA,MAT,1835,KC,-25,2304.6
124,FTA,C3_182,ABLA,SAP,1934,KC,-25,2304.6
125,FTA,C3_186,LALY,MAT,1914,KC,-25,2304.6
126,FTA,C3_187,LALY,SAP,1903,KC,-25,2304.6
127,FTA,C3_202,ABLA,SEE,1947,KC,-25,2304.6
128,FTA,C3_203,ABLA,SEE,1967,KC,-25,2304.6
129,FTA,C3_204,LALY,SEE,1993,KC,-25,2304.6
130,FTA,C3_205,ABLA,SEE,1986,KC,-25,2304.6
131,FTA,D1_509,ABLA,SEE,1980,KC,-5,2314.1
132,FTA,D1_510,LALY,SAP,1973,KC,-5,2314.1
133,FTA,D1_511,ABLA,SEE,1971,KC,-5,2314.1
134,FTA,D1_512,ABLA,SEE,1977,KC,-5,2314.1
135,FTA,D1_513,LALY,SAP,1983,KC,-5,2314.1
136,FTA,D1_514,LALY,SAP,1995,KC,-5,2314.1
137,FTA,D1_538,ABLA,MAT,1947,KC,-5,2314.1
138,FTA,D1_539,LALY,SAP,1975,KC,-5,2314.1
139,FTA,D1_540,LALY,SAP,1978,KC,-5,2314.1
140,FTA,D1_541,ABLA,MAT,1943,KC,-5,2314.1
141,FTA,D1_542,LALY,MAT,1972,KC,-5,2314.1
142,FTA,D1_543,ABLA,MAT,1955,KC,-5,2314.1
143,FTA,D1_544,LALY,SAP,1982,KC,-5,2314.1
144,FTA,D2_017,LALY,SAP,1977,KC,-5,2314.1
145,FTA,D2_018,LALY,MAT,1951,KC,-5,2314.1
146,FTA,D2_019,ABLA,SAP,1958,KC,-5,2314.1
147,FTA,D2_023,ABLA,SAP,1955,KC,-5,2314.1
148,FTA,D2_024,PIEN,SAP,1971,KC,-5,2314.1
149,FTA,D2_025,ABLA,SAP,1963,KC,-5,2314.1
150,FTA,D2_026,ABLA,MAT,1957,KC,-5,2314.1
151,FTA,D2_027,LALY,MAT,1965,KC,-5,2314.1
152,FTA,D2_477,LALY,SEE,1979,KC,-5,2314.1
153,FTA,D2_478,ABLA,SEE,1976,KC,-5,2314.1
154,FTA,D2_479,LALY,SAP,1974,KC,-5,2314.1
155,FTA,D2_480,ABLA,SEE,1971,KC,-5,2314.1
156,FTA,D2_481,ABLA,SEE,1984,KC,-5,2314.1
157,FTA,D2_482,LALY,SAP,1973,KC,-5,2314.1
158,FTA,D3_165,LALY,SAP,1906,KC,-5,2314.1
159,FTA,D3_166,PIEN,SAP,1973,KC,-5,2314.1
160,FTA,D3_167,PIEN,MAT,1958,KC,-5,2314.1
161,FTA,D3_168,PIEN,MAT,1940,KC,-5,2314.1
162,FTA,D3_169,LALY,SAP,1913,KC,-5,2314.1
163,FTA,D3_170,PIEN,SAP,1972,KC,-5,2314.1
164,FTA,D3_171,LALY,SAP,1952,KC,-5,2314.1
165,FTA,D3_172,PIEN,SAP,1935,KC,-5,2314.1
166,FTA,D3_173,ABLA,SAP,1934,KC,-5,2314.1
167,FTA,D3_174,ABLA,SAP,1893,KC,-5,2314.1
168,FTA,D3_175,LALY,MAT,1916,KC,-5,2314.1
169,FTA,D3_176,LALY,MAT,1955,KC,-5,2314.1
170,FTA,D3_177,ABLA,MAT,1887,KC,-5,2314.1
171,FTA,D3_178,ABLA,MAT,1930,KC,-5,2314.1
172,FTA,D3_183,ABLA,MAT,1924,KC,-5,2314.1
173,FTA,D3_184,ABLA,MAT,1934,KC,-5,2314.1
174,FTA,D3_185,PIEN,MAT,1978,KC,-5,2314.1
175,FTA,D3_263,ABLA,SEE,1994,KC,-5,2314.1
176,FTA,D3_264,ABLA,SAP,1975,KC,-5,2314.1
177,FTA,E1_020,ABLA,SAP,1961,KC,5,2318.8
178,FTA,E1_022,ABLA,SEE,1868,KC,5,2318.8
179,FTA,E1_240,ABLA,SEE,1986,KC,5,2318.8
180,FTA,E2_524,ABLA,SAP,1983,KC,5,2318.8
181,FTA,E2_525,ABLA,SAP,1973,KC,5,2318.8
182,FTA,E3_021,ABLA,SAP,1986,KC,5,2318.8
183,FTA,E3_189,LALY,MAT,1958,KC,5,2318.8
184,FTA,E3_190,LALY,MAT,1955,KC,5,2318.8
185,FTA,E3_191,LALY,SAP,1919,KC,5,2318.8
186,FTA,E3_203,LALY,SAP,1930,KC,5,2318.8
187,FTA,E3_204,LALY,SAP,1926,KC,5,2318.8
188,FTA,E3_205,LALY,MAT,1925,KC,5,2318.8
189,FTA,E3_360,ABLA,SEE,1974,KC,5,2318.8
190,FTA,E3_361,ABLA,SEE,1975,KC,5,2318.8
191,FTA,E3_362,LALY,SEE,1984,KC,5,2318.8
192,FTA,E3_363,ABLA,SEE,1980,KC,5,2318.8
193,FTA,E3_495,ABLA,SEE,1975,KC,5,2318.8
194,FTA,E3_496,ABLA,SEE,1996,KC,5,2318.8
195,FTA,E3_497,ABLA,SEE,1977,KC,5,2318.8
196,FTA,E3_517,ABLA,KRU,1949,KC,5,2318.8
197,FTA,F1_546,PIEN,SAP,1984,KC,25,2328.4
198,FTA,F1_547,ABLA,SAP,1985,KC,25,2328.4
