"","MinBin","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at"
"11",1950,-8.90000000000001,0.879999999999999,13.82,4.12,-17.08,-8.02,4,-4.34,-13,-3.56,8.9,-0.1,351,359.4,278.2,174.2,4.74,16.98,22.28,8.42,1132.4,460.2,2.4,280.4,3.6,27.6,387.2,86.8,2727.4,1986.2,836,1649.2,0,0.2,2,0.8,1,8.4,78.6,22.4,341.8,302,33.4,126.2,0,68.6,239.2,60.2,0,0.2,63,15.2,63.6,65,68.2,69.2
"12",1955,-7.76000000000001,1.74,15.18,2.74,-16.32,-6.98,4.46,-5.4,-12.06,-2.6,9.8,-1.32,232.4,295.8,233.6,197.2,4.74,17.16,22.52,8.42,1095.6,410.8,1.2,362.2,2.8,42.4,454.2,77.8,2692.2,1899,754.8,1758.6,0,0.6,3,0.8,0.8,11.6,80.8,21.4,225.2,240.4,13.6,105.6,0,63,257.2,56.6,0,8,67,8.4,62.6,66.2,65.6,69.6
"13",1960,-5.90000000000001,2.2,15.9,4.16,-14.42,-6.7,4.7,-4.34,-10.14,-2.28,10.32,-0.1,213.8,284.6,204.2,176.8,4.78,16.96,22.7,8.52,1012.8,359.6,0.8,277.4,3.8,31.6,496.8,96.4,2606.4,1866.4,708.8,1646.4,0,0.2,4.4,1,0.8,11,82.4,23.6,204.8,220.8,12,122.4,0,65.2,269,68.6,0,0.2,122.6,8.8,63.4,65.2,64.4,69.2
"14",1965,-8.88000000000001,1.84,14.8,3.72,-17.84,-7.12,4.02,-4.18,-13.34,-2.62,9.42,-0.24,304.4,352,272.6,209.2,4.66,17.12,22.54,8.22,1151,394.4,2,297,2.4,32,427,107,2751.8,1900.6,791.2,1659.6,0,0.4,2.8,1.6,0.2,9.6,78.6,25.2,300.4,278.4,26.6,122.6,0,68,254.2,62,0,0,76.6,22.8,60.8,65,65.4,71
"15",1970,-8.10000000000001,2.4,16.06,2.68,-16.66,-6.52,4.88,-5.5,-12.38,-2.04,10.46,-1.4,344.8,374,212.8,181,4.52,17.2,22.94,8.6,1129.2,350,1,345.8,2.8,35.6,511.8,62.8,2727,1845.8,694.8,1767.2,0,0.4,5,0.4,0.4,10.6,83.4,18.2,340,304.2,10.6,117.2,0,61.8,269.2,52.8,0,0,97.8,4.8,62.4,65.4,64.6,69.6
"16",1975,-8.10000000000001,2.2,14.64,3.66,-16.18,-6.5,4.48,-4.68,-12.14,-2.16,9.56,-0.52,281.4,310,265.4,167.6,4.64,17,22.4,8.94,1113.2,353.2,1.8,322.2,3.4,33,435.8,101.2,2710,1855,777,1685,0,0.4,2.6,1.2,0.6,11,80.6,24.4,272.8,244.2,17.2,99.4,0,67.2,249.4,64,0,5.6,52.2,14,64.4,66.4,67.2,69.6
"17",1980,-6.32000000000001,2.96,14.86,3.44,-15.28,-6.16,4.48,-4.64,-10.82,-1.58,9.66,-0.62,249,326.2,221.2,188.8,4.54,16.6,21.6,8.9,1061.8,319.4,1.6,294.2,4.6,39,448.8,74,2653,1804.4,766.8,1694,0,0.6,3.4,0.6,0.8,11.8,81.4,20.6,233.4,240.8,19.6,84.8,0,69.8,252,60,0,5,85.2,6.6,61.4,65.4,66.6,69.8
"18",1985,-6.08000000000001,4.36,15.68,3.26,-14.9,-5.06,4.7,-5.1,-10.5,-0.34,10.2,-0.88,199.2,281.8,236.8,232.2,4.74,16.96,22.38,9.06,907,253.6,1,334.6,4.2,56.8,483.2,82.6,2503.4,1690.2,720.6,1719.4,0,0.8,3.6,0.8,1.2,15.6,82.8,21.2,190.2,199.8,11.2,153.8,0,86.2,265.2,60.6,0,7.4,71.8,6.8,62,65,64.8,69.4
"19",1990,-6.14000000000001,4.52,14.36,3.64,-14.76,-5.26,4.56,-5,-10.42,-0.36,9.48,-0.679999999999999,207.6,322.8,276.8,190.8,4.56,16.56,21.3,9.14,969.8,238.2,1.8,311,5.2,49.2,430.2,99,2558.6,1692.2,784.2,1701.4,0,0.6,3.2,1.4,1.2,14.2,81.4,21,194,216.4,22.2,126.2,0,79.8,242.8,62.8,0,0,40.8,24.4,62.8,63.4,68.4,68.6
"20",1995,-6.66000000000001,2.82,15.02,3.76,-15.46,-6.72,4.66,-4.34,-11.1,-1.94,9.86,-0.259999999999999,254,409.8,276.8,211.2,4.72,17.24,22.06,8.56,999.8,346.2,1.6,303.2,3.8,38,462.4,100.2,2591.4,1836.8,750,1665.2,0,0.4,3.6,1.2,0.8,10.8,82,24,248.6,302,19.6,146.6,0,68.8,252.4,64.2,0,0,48.2,11.4,61.8,63.6,66.6,70.8
"21",2000,-6.58000000000001,1.74,15.32,3.02,-15.14,-7.42,3.96,-5.28,-10.88,-2.82,9.62,-1.14,188.4,321.8,237.4,176,4.76,17.34,23.08,8.47999999999999,1002.2,396,1.8,336.4,2.6,26.6,446.4,69.8,2608.2,1917.8,770.6,1742.2,0,0.2,3,0.8,0.6,7.8,78.2,19.6,182.8,273.4,20.6,95.4,0,56,263.2,50,0,1.6,81.8,7,62.6,64.2,63.8,69.2
"22",2005,-6.22000000000001,2.76,14.96,3.5,-15.1,-6.42,4.18,-4.74,-10.66,-1.84,9.56,-0.639999999999999,225.8,299.8,275,197.4,4.7,17.44,23.04,8.56,1019.8,330.4,1.8,305.6,3,34.4,437.8,82.4,2620.2,1826.6,778.2,1697.4,0,0.4,3.8,1,0.4,10,78.4,20.2,217.8,233,26.8,117,0,61.6,256,63.2,0,0,57.2,10.4,61.8,64.8,65.6,69.6
"23",2010,-7.26000000000001,1.92,14.98,3.56,-15.6,-7.08,4.04,-5.18,-11.44,-2.6,9.52,-0.819999999999999,187.8,407,266.4,204.6,0.959999999999998,3.48,4.46000000000002,1.63999999999999,992,369,2,334.8,3.2,25.6,437.4,95.8,2596.8,1895.8,781.6,1713,0,0,2.8,1,0.8,7,78.8,22.2,182.2,345.4,28.8,122.2,0,58,256.6,66,0,0,82,12.8,63.6,65,65,68.2
