"","SiteID","bins","Tave_wt","Tave_sp","Tave_sm","Tave_at","PAS_wt","PAS_sp","PPT_sm","DD5_sm","HLI","Species","Count"
"1","FTA",1900,0.211916001779049,-1.1631273636121,-1.2015957416737,0.277180109408714,-0.382525157670856,-0.378278916931943,2.86305985979041,-1.20655964688882,-0.986005072072152,"ABLA",3
"2","FTA",1900,0.211916001779049,-1.1631273636121,-1.2015957416737,0.277180109408714,-0.382525157670856,-0.378278916931943,2.86305985979041,-1.20655964688882,-0.986005072072152,"PIEN",0
"3","FTA",1900,0.211916001779049,-1.1631273636121,-1.2015957416737,0.277180109408714,-0.382525157670856,-0.378278916931943,2.86305985979041,-1.20655964688882,-0.986005072072152,"LALY",1
"4","FTA",1900,0.211916001779049,-1.1631273636121,-1.2015957416737,0.277180109408714,-0.382525157670856,-0.378278916931943,2.86305985979041,-1.20655964688882,-0.986005072072152,"PIAL",0
"5","FTA",1905,-0.657842835305304,-0.548703100635642,-0.60962796898038,0.440436800705206,-0.456247081440688,0.0316792297872005,0.665083105000298,-0.681330949792896,-0.986005072072152,"ABLA",0
"6","FTA",1905,-0.657842835305304,-0.548703100635642,-0.60962796898038,0.440436800705206,-0.456247081440688,0.0316792297872005,0.665083105000298,-0.681330949792896,-0.986005072072152,"PIEN",0
"7","FTA",1905,-0.657842835305304,-0.548703100635642,-0.60962796898038,0.440436800705206,-0.456247081440688,0.0316792297872005,0.665083105000298,-0.681330949792896,-0.986005072072152,"LALY",1
"8","FTA",1905,-0.657842835305304,-0.548703100635642,-0.60962796898038,0.440436800705206,-0.456247081440688,0.0316792297872005,0.665083105000298,-0.681330949792896,-0.986005072072152,"PIAL",0
"9","FTA",1910,-1.15484788506779,0.0947034389570099,-0.734252763231605,-0.403994360882018,-0.623126708731599,-1.21895258488765,1.14912951718869,-0.892266169510136,-0.986005072072152,"ABLA",4
"10","FTA",1910,-1.15484788506779,0.0947034389570099,-0.734252763231605,-0.403994360882018,-0.623126708731599,-1.21895258488765,1.14912951718869,-0.892266169510136,-0.986005072072152,"PIEN",0
"11","FTA",1910,-1.15484788506779,0.0947034389570099,-0.734252763231605,-0.403994360882018,-0.623126708731599,-1.21895258488765,1.14912951718869,-0.892266169510136,-0.986005072072152,"LALY",2
"12","FTA",1910,-1.15484788506779,0.0947034389570099,-0.734252763231605,-0.403994360882018,-0.623126708731599,-1.21895258488765,1.14912951718869,-0.892266169510136,-0.986005072072152,"PIAL",0
"13","FTA",1915,-1.61635257413296,-0.340030709416404,-0.422690777603541,-0.18444225886934,-0.221007124898079,0.234063631332094,0.940765167571168,-0.521020182807795,-0.986005072072152,"ABLA",3
"14","FTA",1915,-1.61635257413296,-0.340030709416404,-0.422690777603541,-0.18444225886934,-0.221007124898079,0.234063631332094,0.940765167571168,-0.521020182807795,-0.986005072072152,"PIEN",0
"15","FTA",1915,-1.61635257413296,-0.340030709416404,-0.422690777603541,-0.18444225886934,-0.221007124898079,0.234063631332094,0.940765167571168,-0.521020182807795,-0.986005072072152,"LALY",2
"16","FTA",1915,-1.61635257413296,-0.340030709416404,-0.422690777603541,-0.18444225886934,-0.221007124898079,0.234063631332094,0.940765167571168,-0.521020182807795,-0.986005072072152,"PIAL",0
"17","FTA",1920,-1.01284644227851,-0.913879785269309,-0.204597387663897,0.288439191619506,-0.271272072877269,-0.544337913071342,0.357344988642115,-0.303756906499039,-0.986005072072152,"ABLA",3
"18","FTA",1920,-1.01284644227851,-0.913879785269309,-0.204597387663897,0.288439191619506,-0.271272072877269,-0.544337913071342,0.357344988642115,-0.303756906499039,-0.986005072072152,"PIEN",0
"19","FTA",1920,-1.01284644227851,-0.913879785269309,-0.204597387663897,0.288439191619506,-0.271272072877269,-0.544337913071342,0.357344988642115,-0.303756906499039,-0.986005072072152,"LALY",0
"20","FTA",1920,-1.01284644227851,-0.913879785269309,-0.204597387663897,0.288439191619506,-0.271272072877269,-0.544337913071342,0.357344988642115,-0.303756906499039,-0.986005072072152,"PIAL",0
"21","FTA",1925,-0.586842113910663,0.425101391720804,-0.329222181915123,-0.623546462894696,-0.741751985962487,-1.86762053855718,0.94717637832863,-0.468286377878485,-0.986005072072152,"ABLA",2
"22","FTA",1925,-0.586842113910663,0.425101391720804,-0.329222181915123,-0.623546462894696,-0.741751985962487,-1.86762053855718,0.94717637832863,-0.468286377878485,-0.986005072072152,"PIEN",0
"23","FTA",1925,-0.586842113910663,0.425101391720804,-0.329222181915123,-0.623546462894696,-0.741751985962487,-1.86762053855718,0.94717637832863,-0.468286377878485,-0.986005072072152,"LALY",2
"24","FTA",1925,-0.586842113910663,0.425101391720804,-0.329222181915123,-0.623546462894696,-0.741751985962487,-1.86762053855718,0.94717637832863,-0.468286377878485,-0.986005072072152,"PIAL",0
"25","FTA",1930,0.229666182127709,0.529437587330423,-0.0955506926940744,0.254661945156017,-0.393918545946492,-0.487255133148424,0.00793400236043092,-0.288991441118831,-0.986005072072152,"ABLA",6
"26","FTA",1930,0.229666182127709,0.529437587330423,-0.0955506926940744,0.254661945156017,-0.393918545946492,-0.487255133148424,0.00793400236043092,-0.288991441118831,-0.986005072072152,"PIEN",0
"27","FTA",1930,0.229666182127709,0.529437587330423,-0.0955506926940744,0.254661945156017,-0.393918545946492,-0.487255133148424,0.00793400236043092,-0.288991441118831,-0.986005072072152,"LALY",2
"28","FTA",1930,0.229666182127709,0.529437587330423,-0.0955506926940744,0.254661945156017,-0.393918545946492,-0.487255133148424,0.00793400236043092,-0.288991441118831,-0.986005072072152,"PIAL",0
