"","MinBin","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at"
"13",1960,-6.34,1.74,14.1,3.94,-15.66,-7.62,3.76,-5.32,-11,-2.94,8.9,-0.700000000000001,234,256,257,217.2,5.9,17.82,23.16,9.74,1075.2,404.2,1.8,294,3,25.8,377.4,78.4,2673.2,1929.4,837.8,1700.4,0,0,2,0.8,0.6,8.2,78,18.8,226.8,204.6,24,163.8,0,56.8,244.2,66.2,0,0,67.6,4.8,60,63.4,66.6,66
"14",1965,-8.96,1.52,13.28,3.7,-18.6,-8.08,3.18,-4.96,-13.78,-3.28,8.26,-0.660000000000001,282.6,316.4,318.4,254.6,5.76,17.96,22.98,9.46,1192.4,435.6,3.4,306.4,2,26.4,332.4,90.8,2796.4,1959.8,899.4,1697.8,0,0.2,1.4,1.2,0,6.8,74,21.4,279.8,254.4,45.6,158.2,0,68.2,234.8,56,0,0,53,15.2,58,62.6,67.2,68
"15",1970,-8.52,1.94,14.36,2.62,-17.76,-7.48,3.96,-6.28,-13.14,-2.76,9.18,-1.82,352.6,331.8,239.4,212.2,5.64,18.06,23.4,9.86,1190.6,396,1.8,357.6,2,29.4,401.8,53.2,2793.2,1911.6,813.4,1804.2,0,0,2.6,0.4,0.2,7.6,80,15,349.4,278.2,20.6,146,0,61.8,246.4,51.2,0,3.6,75,2,59.8,63.6,66.4,66.6
"16",1975,-8.66,1.66,12.94,3.54,-17.16,-7.36,3.66,-5.54,-12.9,-2.84,8.3,-1,266.8,266.6,281.8,200,5.74,17.88,22.9,10.16,1175,397,3.2,335.2,2.6,27,334.6,84.4,2776.8,1920.2,893.2,1729.2,0,0.2,1.4,0.8,0.4,8.2,76.8,20.8,261.6,216.6,27.4,136.4,0,56.4,226.6,62.2,0,0,30,9.4,62.8,64.8,69.4,66.4
"17",1980,-7.02,2.56,13.16,3.44,-15.94,-7.02,3.64,-5.36,-11.46,-2.24,8.4,-0.960000000000001,225.4,300.8,275.4,206.6,5.68,17.44,22.04,10.18,1112,356,3,302.2,3.2,32.2,345.2,63.2,2707.8,1863.6,884,1725.8,0,0.2,1.6,0.6,0.6,8.8,77.2,17.6,215.4,226,36.2,104.8,0,70.2,229.6,58.4,0,2.6,53.2,6.2,61.4,63.2,68.6,67.4
"18",1985,-6.78,3.78,13.9,3.28,-15.9,-6.04,3.88,-5.8,-11.32,-1.14,8.88,-1.24,192.2,253.6,284.8,247.8,5.84,17.78,22.78,10.3,979.8,296,1.6,346.6,3.4,44.8,371.8,71.8,2579.2,1762,841.6,1752.2,0,0.8,2,0.8,0.6,11.6,79.2,18.2,186.6,188.4,21.8,161.6,0,75.8,240.8,60,0,6.6,36.4,3.4,60.8,62.8,67.4,66.8
"19",1990,-6.74000000000001,3.86,12.76,3.66,-15.66,-6.1,3.78,-5.8,-11.22,-1.12,8.28,-1.08,210.8,300.8,333.8,227.6,5.68,17.38,21.78,10.38,1035.8,281,3,327.6,4.2,40.4,336.8,84.2,2628.2,1761,895.8,1736.8,0,0.6,1.6,1,0.6,10.6,77.4,17.8,199.8,210.8,40.6,157.2,0,62,221.8,60.8,0,0,22,14.8,61.4,62.6,70.6,65.4
"20",1995,-7.32000000000001,2.18,13.24,3.6,-16.38,-7.52,3.68,-5.12,-11.86,-2.68,8.46,-0.760000000000001,253.6,378.2,321.2,245.8,5.82,18.1,22.62,9.86,1061.4,392.6,3,316.2,3,31.2,349.4,83,2658.8,1905.8,878.6,1708,0,0.2,1.6,1,0.6,8,77.4,20.6,249.4,289.8,37.6,181.8,0,51.4,229.4,62.2,0,0,31.6,8.8,60.8,62.6,68.8,67.8
"21",2000,-7.16000000000001,1.04,13.7,2.9,-16.18,-8.34,3.02,-6.14,-11.72,-3.68,8.36,-1.6,175.4,292.6,294,201.2,5.86,18.2,23.54,9.72,1074.2,451,3,352.2,1.8,21,341,56.6,2681.2,1993.6,887.6,1786,0,0,1.4,0.4,0.2,5.6,73,16.8,171.8,254.6,37.8,123.2,0,45.4,242.8,47.2,0,0,41.8,6,61,63.2,65.4,66.4
"22",2005,-6.76000000000001,2.4,13.46,3.46,-16.14,-7.48,3.08,-5.62,-11.44,-2.54,8.28,-1.08,214.2,266.4,315.2,221,5.78,18.26,23.44,9.78,1086.8,373.8,3.4,319,2.4,28.8,335.4,68.8,2689.4,1890.6,896.6,1738.4,0,0.2,1.6,0.4,0.2,7.2,72.2,16.4,209.2,212.6,46,133.4,0,62.8,238.8,57.2,0,1,33.4,8.4,59.6,61.8,66.2,66.6
"23",2010,-7.62,1.5,13.38,3.52,-16.56,-8.12,3.12,-6.04,-12.1,-3.3,8.26,-1.28,148.6,344.4,296.4,223.6,1.18,3.64000000000001,4.53999999999998,1.88,1053.4,420.4,3.6,346.6,2.2,21,336.2,80.2,2656.4,1962.2,896.4,1753.4,0,0,1.6,0.8,0.6,4.8,73.8,18.4,145.2,296.8,48.6,127.6,0,48.2,236.2,59.8,0,0,61.2,9.8,61,62.4,66.4,65
