Year,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Tave_wt,Tave_sp,Tave_sm,Tave_at
1965,-15.1,-5.5,7.2,-4.1,544,151,214,290,-15.1,-5.5,7.2,-4.1
1966,-13.6,-4.8,5.4,-3,475,283,218,296,-13.6,-4.8,5.4,-3
1967,-10.3,-6,7.7,-1.4,541,232,138,223,-10.3,-6,7.7,-1.4
1968,-11.7,-3.7,5.8,-2.8,388,309,200,201,-11.7,-3.7,5.8,-2.8
1969,-18.7,-2.8,6.6,-2.4,412,266,242,247,-18.7,-2.8,6.6,-2.4
1970,-12,-4.3,8,-5,258,175,158,271,-12,-4.3,8,-5
1971,-14.3,-4.2,7.4,-3.7,544,262,217,232,-14.3,-4.2,7.4,-3.7
1972,-17.9,-4.4,7,-4.5,730,320,262,231,-17.9,-4.4,7,-4.5
1973,-13.2,-3.5,6.2,-4.9,277,186,134,392,-13.2,-3.5,6.2,-4.9
1974,-11.7,-5.2,6.4,-2,495,231,119,201,-11.7,-5.2,6.4,-2
1975,-13,-6.4,6.3,-2.8,330,105,236,268,-13,-6.4,6.3,-2.8
1976,-11,-4.5,5.6,-2.1,376,154,294,190,-11,-4.5,5.6,-2.1
1977,-8.1,-3.4,6.4,-4.2,178,180,224,260,-8.1,-3.4,6.4,-4.2
1978,-14.8,-3.5,7.1,-3.4,277,236,236,339,-14.8,-3.5,7.1,-3.4
1979,-17.3,-4.4,7.3,-2.5,351,155,156,140,-17.3,-4.4,7.3,-2.5
1980,-12.7,-3,6,-2.3,489,235,267,236,-12.7,-3,6,-2.3
1981,-9.8,-3.2,6.4,-2.1,330,193,240,202,-9.8,-3.2,6.4,-2.1
1982,-16.2,-6.4,6.5,-3.6,524,236,285,220,-16.2,-6.4,6.5,-3.6
1983,-8.8,-2.9,6.7,-3.4,317,233,256,252,-8.8,-2.9,6.7,-3.4
1984,-12,-3.8,6.7,-5.5,277,165,194,269,-12,-3.8,6.7,-5.5
1985,-14.8,-3.7,6.4,-8.4,259,171,191,319,-14.8,-3.7,6.4,-8.4
1986,-10.2,-2.8,6.4,-3.8,344,302,253,306,-10.2,-2.8,6.4,-3.8
1987,-8,-2.5,6.9,-0.9,202,270,236,125,-8,-2.5,6.9,-0.9
1988,-11.6,-1.8,6.8,-2,268,273,294,219,-11.6,-1.8,6.8,-2
1989,-13.7,-4.9,6.9,-2.5,372,186,235,274,-13.7,-4.9,6.9,-2.5
1990,-10.3,-3.2,7.3,-2.8,312,240,305,227,-10.3,-3.2,7.3,-2.8
1991,-12,-4.2,6.8,-3.4,378,299,236,213,-12,-4.2,6.8,-3.4
1992,-7.5,-2.3,6.7,-3.1,223,199,195,289,-7.5,-2.3,6.7,-3.1
1993,-15.1,-2.1,6,-3,160,263,362,178,-15.1,-2.1,6,-3
1994,-11.6,-1.8,7.5,-2.3,358,243,249,232,-11.6,-1.8,7.5,-2.3
1995,-11.5,-3.7,6.5,-3.2,252,143,259,355,-11.5,-3.7,6.5,-3.2
1996,-13.9,-5.3,6.7,-5.3,342,240,200,566,-13.9,-5.3,6.7,-5.3
1997,-14.3,-4.7,6.4,-2.2,326,361,256,328,-14.3,-4.7,6.4,-2.2
1998,-9.8,-2.1,8.2,-1.5,240,274,226,361,-9.8,-2.1,8.2,-1.5
1999,-10.2,-3.9,6,-2.7,421,245,252,172,-10.2,-3.9,6,-2.7
2000,-10.4,-4.2,5.9,-3.5,273,295,216,194,-10.4,-4.2,5.9,-3.5
2001,-11.8,-3.9,6.6,-2.2,201,155,268,215,-11.8,-3.9,6.6,-2.2
2002,-11.1,-7.6,6.8,-3.4,212,306,138,207,-11.1,-7.6,6.8,-3.4
2003,-9.8,-5,7.8,-3.5,251,339,210,339,-9.8,-5,7.8,-3.5
2004,-11.5,-3.2,7.5,-3,209,193,249,234,-11.5,-3.2,7.5,-3
2005,-10.9,-2.7,5.5,-3.2,367,133,344,284,-10.9,-2.7,5.5,-3.2
2006,-9.6,-3.6,7.2,-4.2,195,176,200,301,-9.6,-3.6,7.2,-4.2
2007,-10.5,-3.5,7,-3.3,288,343,179,250,-10.5,-3.5,7,-3.3
2008,-12.8,-5,6,-2.2,303,184,208,212,-12.8,-5,6,-2.2
2009,-13.8,-5.6,6.4,-2.6,350,204,223,139,-13.8,-5.6,6.4,-2.6
2010,-11.7,-3.3,6.2,-3.6,145,204,181,180,-11.7,-3.3,6.2,-3.6
2011,-13.9,-5.8,6,-2.8,297,280,197,178,-13.9,-5.8,6,-2.8
2012,-10.5,-4.1,7,-3.7,164,350,236,198,-10.5,-4.1,7,-3.7
2013,-10.7,-4.7,7.1,-3,210,275,237,226,-10.7,-4.7,7.1,-3
2014,-12.9,-5.6,7.3,-3.1,258,314,188,349,-12.9,-5.6,7.3,-3.1
2015,-9.2,-2.3,7.5,-3.2,271,145,197,316,-9.2,-2.3,7.5,-3.2
