Year,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Tave_wt,Tave_sp,Tave_sm,Tave_at
1966,-13.3,-1.4,8.8,-0.6,169,294,273,243,-13.3,-1.4,8.8,-0.6
1967,-9.6,-5.4,10.5,1.8,186,539,136,149,-9.6,-5.4,10.5,1.8
1968,-10.5,-1.4,8.8,-0.2,354,379,256,241,-10.5,-1.4,8.8,-0.2
1969,-18.9,-0.9,9.6,0.2,415,306,312,165,-18.9,-0.9,9.6,0.2
1970,-10.1,-2.7,11.9,-2.1,226,425,201,185,-10.1,-2.7,11.9,-2.1
1971,-12.9,-1.9,11,-1,389,312,177,171,-12.9,-1.9,11,-1
1972,-16.4,-1.8,9.9,-2,473,408,206,163,-16.4,-1.8,9.9,-2
1973,-12,-0.9,10.4,-2.2,260,286,208,167,-12,-0.9,10.4,-2.2
1974,-10.3,-2.5,9.8,1.1,306,461,210,199,-10.3,-2.5,9.8,1.1
1975,-12,-4.4,9.6,-0.6,260,353,275,154,-12,-4.4,9.6,-0.6
1976,-9.2,-1.2,9.2,0.9,336,227,298,145,-9.2,-1.2,9.2,0.9
1977,-7.6,-0.8,9.7,-1.6,182,217,218,127,-7.6,-0.8,9.7,-1.6
1978,-15.1,-1.7,9.7,-0.9,324,455,261,262,-15.1,-1.7,9.7,-0.9
1979,-16.3,-2.1,10.3,0.6,245,304,185,134,-16.3,-2.1,10.3,0.6
1980,-11.3,-0.6,8.8,1,309,340,286,219,-11.3,-0.6,8.8,1
1981,-8.8,-0.2,9.6,1.2,236,377,252,113,-8.8,-0.2,9.6,1.2
1982,-15,-3.8,9.8,-1.1,213,324,180,185,-15,-3.8,9.8,-1.1
1983,-7.6,-1.5,10.4,-0.3,198,322,187,136,-7.6,-1.5,10.4,-0.3
1984,-11,-1.6,10.6,-2.9,246,283,141,266,-11,-1.6,10.6,-2.9
1985,-13.7,-0.2,10.1,-5.5,195,297,177,390,-13.7,-0.2,10.1,-5.5
1986,-8.9,0.5,10.4,-1.7,212,311,235,329,-8.9,0.5,10.4,-1.7
1987,-6.9,0.6,9.9,2.6,87,248,284,106,-6.9,0.6,9.9,2.6
1988,-10,0.5,11.1,1.1,138,268,196,134,-10,0.5,11.1,1.1
1989,-12.3,-2.7,10.2,0,330,282,226,182,-12.3,-2.7,10.2,0
1990,-9.8,-1.2,10.1,0.1,258,398,221,183,-9.8,-1.2,10.1,0.1
1991,-10.7,-1.9,10.4,-0.9,240,338,219,141,-10.7,-1.9,10.4,-0.9
1992,-5.7,1,9.1,-0.6,105,304,306,265,-5.7,1,9.1,-0.6
1993,-14.5,0,7.7,-1,220,311,371,142,-14.5,0,7.7,-1
1994,-10.9,0.8,10.8,-0.1,163,258,193,208,-10.9,0.8,10.8,-0.1
1995,-9.9,-1.7,9.3,-0.4,124,341,275,252,-9.9,-1.7,9.3,-0.4
1996,-13.8,-3.3,10.4,-2.9,346,430,156,329,-13.8,-3.3,10.4,-2.9
1997,-12.8,-2.5,10.1,0.6,321,400,261,159,-12.8,-2.5,10.1,0.6
1998,-9.3,-0.4,11.1,1.3,181,492,300,170,-9.3,-0.4,11.1,1.3
1999,-9.3,-1.3,9.1,0.9,227,387,318,124,-9.3,-1.3,9.1,0.9
2000,-9.6,-1.7,9.2,-1.6,216,275,231,110,-9.6,-1.7,9.2,-1.6
2001,-12.8,-1.8,10.2,0.5,139,241,209,177,-12.8,-1.8,10.2,0.5
2002,-10.9,-6.3,9.1,-1,192,312,178,160,-10.9,-6.3,9.1,-1
2003,-9.7,-2.8,10.8,-1.6,209,463,198,208,-9.7,-2.8,10.8,-1.6
2004,-10.9,-1,9.6,-1,158,325,305,198,-10.9,-1,9.6,-1
2005,-10.1,-1,8.6,-0.7,209,166,360,250,-10.1,-1,8.6,-0.7
2006,-9.2,-1.4,10.7,-1.2,188,287,253,248,-9.2,-1.4,10.7,-1.2
2007,-10,-0.7,10.8,-0.6,194,447,239,160,-10,-0.7,10.8,-0.6
2008,-11.2,-2.7,9.2,0.4,200,356,228,159,-11.2,-2.7,9.2,0.4
2009,-12.2,-3,9.2,-0.1,304,259,231,147,-12.2,-3,9.2,-0.1
2010,-11.4,-1.7,8.7,-1.2,223,376,285,209,-11.4,-1.7,8.7,-1.2
2011,-13.6,-3.7,9.2,-0.1,280,483,198,146,-13.6,-3.7,9.2,-0.1
2012,-9.9,-1.6,10,-0.7,106,417,302,202,-9.9,-1.6,10,-0.7
2013,-9.5,-2.5,10.2,-0.6,120,354,239,200,-9.5,-2.5,10.2,-0.6
2014,-12.3,-3,10.2,-0.5,188,435,247,245,-12.3,-3,10.2,-0.5
2015,-8.7,-0.3,10.6,-0.4,202,189,169,236,-8.7,-0.3,10.6,-0.4
