Year,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Tave_wt,Tave_sp,Tave_sm,Tave_at
1965,-14.3,-4.2,8.7,-1.9,292,269,507,292,-14.3,-4.2,8.7,-1.9
1966,-13.3,-2.2,7.4,-0.7,221,287,293,341,-13.3,-2.2,7.4,-0.7
1967,-9.9,-5.4,9.2,1.2,187,307,190,116,-9.9,-5.4,9.2,1.2
1968,-10.8,-2.1,7.5,-0.8,210,298,332,291,-10.8,-2.1,7.5,-0.8
1969,-18.6,-1.1,8.4,-0.2,349,198,428,210,-18.6,-1.1,8.4,-0.2
1970,-11.1,-3.2,10.3,-2.6,175,218,188,198,-11.1,-3.2,10.3,-2.6
1971,-13.5,-2.8,9.6,-1.5,356,256,270,190,-13.5,-2.8,9.6,-1.5
1972,-16.7,-2.2,8.6,-2.3,493,230,323,249,-16.7,-2.2,8.6,-2.3
1973,-12.8,-1.7,8.6,-2.3,307,287,269,243,-12.8,-1.7,8.6,-2.3
1974,-10.8,-2.9,8.5,0.5,444,415,248,188,-10.8,-2.9,8.5,0.5
1975,-12.9,-4.4,8.2,-1,245,197,301,157,-12.9,-4.4,8.2,-1
1976,-10.3,-2.2,7.5,0.3,335,202,324,206,-10.3,-2.2,7.5,0.3
1977,-8.8,-1.8,8.1,-2.2,156,237,305,201,-8.8,-1.8,8.1,-2.2
1978,-14.9,-2.1,8.4,-1.5,250,274,325,293,-14.9,-2.1,8.4,-1.5
1979,-16.7,-2.7,9.2,0,207,218,169,133,-16.7,-2.7,9.2,0
1980,-11.7,-1.1,7.4,0.2,289,286,383,266,-11.7,-1.1,7.4,0.2
1981,-9.5,-1.1,8.2,0.9,197,358,394,110,-9.5,-1.1,8.2,0.9
1982,-14.8,-4.2,8.4,-1.4,184,293,274,198,-14.8,-4.2,8.4,-1.4
1983,-8.6,-1.6,8.8,-0.7,180,222,337,168,-8.6,-1.6,8.8,-0.7
1984,-11.7,-2,9,-2.9,185,206,241,236,-11.7,-2,9,-2.9
1985,-14.2,-1.2,8.6,-5.9,182,244,298,382,-14.2,-1.2,8.6,-5.9
1986,-9.7,-0.3,8.8,-1.7,174,239,349,306,-9.7,-0.3,8.8,-1.7
1987,-8.3,-0.1,8.5,2,129,187,373,114,-8.3,-0.1,8.5,2
1988,-11.1,-0.4,9.1,0.5,137,252,314,145,-11.1,-0.4,9.1,0.5
1989,-12.9,-3,8.9,-0.4,268,167,307,202,-12.9,-3,8.9,-0.4
1990,-10.5,-1.4,9.1,-0.2,233,326,366,189,-10.5,-1.4,9.1,-0.2
1991,-11.3,-2.5,9.1,-1.3,254,320,347,162,-11.3,-2.5,9.1,-1.3
1992,-6.9,0.2,7.9,-1.2,106,243,397,310,-6.9,0.2,7.9,-1.2
1993,-15.5,-0.8,6.3,-1.3,200,251,468,159,-15.5,-0.8,6.3,-1.3
1994,-11.3,-0.2,9,-0.8,193,227,308,263,-11.3,-0.2,9,-0.8
1995,-11.2,-2.7,7.2,-1.3,157,262,372,281,-11.2,-2.7,7.2,-1.3
1996,-14.2,-3.9,8.8,-3.1,301,330,219,402,-14.2,-3.9,8.8,-3.1
1997,-13.6,-3.1,8.5,0.2,289,360,378,179,-13.6,-3.1,8.5,0.2
1998,-9.7,-0.8,9.7,1,187,358,369,209,-9.7,-0.8,9.7,1
1999,-9.7,-2,7.5,0.1,225,322,456,127,-9.7,-2,7.5,0.1
2000,-10.5,-2.7,7.4,-2.3,232,248,362,153,-10.5,-2.7,7.4,-2.3
2001,-13.6,-2.9,8.6,-0.2,140,181,325,196,-13.6,-2.9,8.6,-0.2
2002,-11.8,-6.9,7.7,-1.4,195,253,243,177,-11.8,-6.9,7.7,-1.4
2003,-10.4,-3.7,9.3,-2.1,136,352,308,303,-10.4,-3.7,9.3,-2.1
2004,-11.7,-1.5,8.4,-1.5,99,219,427,162,-11.7,-1.5,8.4,-1.5
2005,-10.9,-1.5,7,-1.3,234,123,511,302,-10.9,-1.5,7,-1.3
2006,-10,-2,9.1,-1.6,135,212,325,280,-10,-2,9.1,-1.6
2007,-10.8,-1.3,9.1,-1.1,173,359,290,193,-10.8,-1.3,9.1,-1.1
2008,-12.1,-3.3,7.7,-0.1,196,262,266,171,-12.1,-3.3,7.7,-0.1
2009,-12.9,-3.6,7.9,-0.6,223,185,329,120,-12.9,-3.6,7.9,-0.6
2010,-11.5,-2.1,7.3,-1.7,97,195,314,186,-11.5,-2.1,7.3,-1.7
2011,-14.1,-4.3,7.9,-0.7,175,319,267,153,-14.1,-4.3,7.9,-0.7
2012,-10.9,-2.4,8.4,-1.2,84,285,393,188,-10.9,-2.4,8.4,-1.2
2013,-10.2,-3,8.7,-1.1,94,268,334,195,-10.2,-3,8.7,-1.1
2014,-12.8,-3.8,8.8,-1,151,355,288,298,-12.8,-3.8,8.8,-1
2015,-9.1,-0.8,9.1,-1,150,127,253,284,-9.1,-0.8,9.1,-1
