"","MinBin","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at"
"13",1960,-5.8,2.32,16.08,4.46,-14.28,-6.66,4.88,-4.2,-10.04,-2.18,10.48,0.100000000000001,207,282.6,194,168.6,5.78,17.62,23.4,9.5,1004.8,354.4,0.8,261.2,3.8,33,511.8,100.8,2597.8,1857.6,693.4,1627.4,0,0.2,4.6,1,0.8,11.4,83,24,197.6,219,10.8,118.2,0,65.6,270.4,69.2,0,0.6,130.8,10.8,63.4,65.2,64.4,68.6
"14",1965,-8.9,1.92,14.88,3.98,-17.82,-7.08,4.18,-4.12,-13.36,-2.58,9.54,-0.0599999999999993,289,353,259.6,202.2,5.62,17.74,23.22,9.2,1150.4,390.2,2,290,2.4,33.2,438.8,111.2,2751,1893.6,778.8,1644.4,0,0.4,3,1.6,0.4,10,79.4,25.4,285.4,279.6,25,118.8,0,69,254.4,62.8,0,0,80.4,25,61,65,65.6,70.2
"15",1970,-8.06,2.5,16.18,2.94,-16.62,-6.44,5.06,-5.42,-12.34,-1.96,10.6,-1.24,330.8,378.4,200.4,177,5.52,17.86,23.62,9.57999999999999,1125,345.8,0.8,338,2.8,36.6,524.6,65.8,2722.2,1838,681,1751.8,0,0.4,5.2,0.4,0.6,11,84,19.2,326.4,307.4,9.6,115.4,0,70.4,269.8,53.2,0,0,104,6.2,62.6,65.6,64.6,68.8
"16",1975,-8.04,2.32,14.8,3.94,-16.1,-6.4,4.64,-4.58,-12.04,-2.04,9.7,-0.319999999999999,269.4,311.2,247.4,164.4,5.62,17.64,23.08,9.88,1105.4,348.4,1.6,313.6,3.6,34,447.8,105.6,2703,1846.4,764.2,1667,0,0.4,3,1.2,0.6,11,80.6,25,260.8,244,15.8,98.4,0,67.8,250.8,69,0,5.8,58.2,15.8,64.6,66.4,67.2,69
"17",1980,-6.26,3.04,15,3.7,-15.2,-6.06,4.66,-4.56,-10.74,-1.54,9.83999999999999,-0.419999999999999,240.4,329.2,209.2,183.8,5.54,17.22,22.3,9.9,1054.8,315,1.6,286.2,4.8,40.2,462.2,77.6,2645.2,1796.4,752.2,1677.6,0,0.6,3.6,0.8,0.8,12.4,81.6,21.4,224.6,242.4,17.8,83,0,70.2,252.8,60.8,0,5.4,91.2,8,61.4,65.4,66.8,69.6
"18",1985,-5.94,4.5,15.8,3.56,-14.76,-4.98,4.84000000000001,-4.98,-10.36,-0.259999999999999,10.34,-0.699999999999999,192.4,281.2,223.6,228.2,5.72,17.58,23.08,10,895.6,249.6,1,325.6,4.4,59,495.8,85.8,2490.2,1681.6,707.4,1702.8,0,0.8,4,0.8,1.4,16,83.2,21.8,183.2,198.6,9.6,150.8,0,87.2,266.4,61.2,0,8,75.8,8.2,62,64.8,64.8,68.6
"19",1990,-6.02,4.64,14.48,3.9,-14.66,-5.18,4.74,-4.86,-10.32,-0.259999999999998,9.61999999999999,-0.499999999999999,197.2,321.8,262,187.8,5.56,17.18,21.98,10.12,961.4,233.6,1.6,305.8,5.2,50.6,441.8,103,2548.8,1683.2,771.6,1685.4,0,0.6,3.6,1.4,1.4,14.4,82,21.4,183.6,214.4,20,124.6,0,80.4,243.4,63.2,0,0,47.2,25.6,63,63.4,68.4,68.4
"20",1995,-6.65999999999999,2.94,15.18,3.98,-15.36,-6.66,4.82,-4.24,-11.02,-1.84,9.99999999999999,-0.0999999999999993,239.8,410,262,206.8,5.72,17.84,22.74,9.56,993,340.2,1.4,296.2,4,39.2,475.2,104.2,2583.8,1829.8,736.6,1650,0,0.4,3.8,1.2,0.8,11.2,82.2,24.4,234.8,301.6,18,144.6,0,69.2,253.4,64.8,0,0,54,13,62.2,63.2,66.8,70.2
"21",2000,-6.48,1.9,15.4,3.28,-15.04,-7.34,4.12000000000001,-5.14,-10.78,-2.72,9.77999999999999,-0.94,182.8,323.2,224.2,170.6,5.76,17.96,23.74,9.44,994.8,390.2,1.8,318.4,2.6,27.6,458.6,72.8,2600,1909.4,757.4,1725,0,0.2,3.2,0.8,0.8,8,79.4,20.2,177.6,274.4,19,93,0,56.6,264.2,50.8,0,2.4,89.8,7.4,62.8,63.8,64,68.4
"22",2005,-6.13999999999999,2.82,15,3.72,-15,-6.34,4.38000000000001,-4.64,-10.54,-1.76,9.69999999999999,-0.439999999999999,219,303,262.2,192.8,5.7,18.06,23.74,9.56,1013,326.2,1.8,289.2,3.2,35.4,449,86.2,2612.8,1819.2,766.4,1681,0,0.6,4,1,0.4,10.4,79.2,20.6,210.8,235.6,24.6,114.8,0,62,256,63.4,0,0.2,66,10.8,62.2,64.8,65.8,69.6
"23",2010,-7.21999999999999,2.02,15.1,3.84,-15.48,-7.04,4.24000000000001,-5.06,-11.34,-2.5,9.65999999999999,-0.619999999999999,183.4,413,254.2,200.4,1.16,3.60000000000001,4.57999999999999,1.82,985.4,363.8,2,327.6,3.2,26.6,450.4,100,2589.4,1887.8,767,1695.2,0,0,3.4,1.2,0.8,7.4,79.6,22.8,177.8,350.4,26.6,121.2,0,58.4,257.4,66.2,0,0,87,13.8,63.8,65,65,67.6
