Year,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Tave_wt,Tave_sp,Tave_sm,Tave_at
1966,-12.4,-2.4,7.6,-0.2,606,380,387,581,-12.4,-2.4,7.6,-0.2
1967,-9.1,-4.4,9.8,0.9,474,335,182,308,-9.1,-4.4,9.8,0.9
1968,-10.4,-1.8,8.2,-0.9,396,381,331,321,-10.4,-1.8,8.2,-0.9
1969,-17.2,-0.9,9.1,-0.1,605,397,418,370,-17.2,-0.9,9.1,-0.1
1970,-11.4,-2.7,10.7,-2.7,311,159,296,379,-11.4,-2.7,10.7,-2.7
1971,-13.1,-2.6,9.9,-1.7,644,321,248,427,-13.1,-2.6,9.9,-1.7
1972,-16.3,-2.4,9.3,-2.3,1094,286,387,390,-16.3,-2.4,9.3,-2.3
1973,-13.1,-1.8,8.7,-2,371,310,257,578,-13.1,-1.8,8.7,-2
1974,-10.3,-3,9,0.3,635,303,209,290,-10.3,-3,9,0.3
1975,-13.1,-3.9,8.6,-0.7,455,122,398,333,-13.1,-3.9,8.6,-0.7
1976,-10.6,-2.7,7.7,-0.2,499,274,501,279,-10.6,-2.7,7.7,-0.2
1977,-8.9,-1.8,8.7,-2.2,183,237,363,399,-8.9,-1.8,8.7,-2.2
1978,-13.7,-2,9.2,-1.7,410,300,335,528,-13.7,-2,9.2,-1.7
1979,-16.4,-2.6,9.7,-0.5,337,204,187,217,-16.4,-2.6,9.7,-0.5
1980,-11.6,-1.1,8.1,-0.1,661,360,434,437,-11.6,-1.1,8.1,-0.1
1981,-9.5,-1.5,8.4,0.4,496,320,431,241,-9.5,-1.5,8.4,0.4
1982,-13.9,-4.2,8.7,-1.4,477,305,422,400,-13.9,-4.2,8.7,-1.4
1983,-8.2,-1.1,8.9,-0.8,438,230,463,317,-8.2,-1.1,8.9,-0.8
1984,-11.7,-2,9,-2.8,294,235,330,353,-11.7,-2,9,-2.8
1985,-14.4,-1.9,8.9,-5.9,347,267,336,540,-14.4,-1.9,8.9,-5.9
1986,-10.2,-0.7,8.9,-1.5,402,268,448,554,-10.2,-0.7,8.9,-1.5
1987,-8.5,-0.2,8.9,1.4,234,308,424,188,-8.5,-0.2,8.9,1.4
1988,-11.5,-0.6,8.9,0.5,287,338,500,321,-11.5,-0.6,8.9,0.5
1989,-13.2,-2.7,9.3,-0.5,421,212,396,405,-13.2,-2.7,9.3,-0.5
1990,-10.4,-1.5,9.5,-0.1,406,341,502,326,-10.4,-1.5,9.5,-0.1
1991,-11.5,-2.2,9.5,-1,473,376,393,304,-11.5,-2.2,9.5,-1
1992,-7,0,9,-1,238,278,375,485,-7,0,9,-1
1993,-15.2,-0.7,7.6,-1.2,303,306,559,287,-15.2,-0.7,7.6,-1.2
1994,-10.2,-0.4,9.4,-0.5,395,277,360,408,-10.2,-0.4,9.4,-0.5
1995,-11.1,-2.5,8.3,-1.3,307,241,483,589,-11.1,-2.5,8.3,-1.3
1996,-13.7,-3.7,9.1,-2.4,526,371,264,870,-13.7,-3.7,9.1,-2.4
1997,-13.3,-2.9,8.7,0.3,510,436,433,402,-13.3,-2.9,8.7,0.3
1998,-8.8,-0.4,10.4,1.5,341,357,397,478,-8.8,-0.4,10.4,1.5
1999,-9.1,-2,8.1,-0.2,455,330,497,251,-9.1,-2,8.1,-0.2
2000,-10.4,-2.6,7.8,-2.1,381,331,383,296,-10.4,-2.6,7.8,-2.1
2001,-12.8,-2.8,8.9,-0.3,280,199,408,361,-12.8,-2.8,8.9,-0.3
2002,-11.3,-6.5,8.3,-1.4,333,326,256,295,-11.3,-6.5,8.3,-1.4
2003,-9.9,-3.4,9.8,-1.9,217,428,361,600,-9.9,-3.4,9.8,-1.9
2004,-11.4,-1.3,9.2,-1.4,188,247,477,273,-11.4,-1.3,9.2,-1.4
2005,-10.6,-1.2,7.4,-1.4,468,156,559,516,-10.6,-1.2,7.4,-1.4
2006,-9.7,-2,9.4,-1.7,220,230,343,495,-9.7,-2,9.4,-1.7
2007,-10.5,-1.4,9.3,-1.2,330,403,315,350,-10.5,-1.4,9.3,-1.2
2008,-12.1,-3.2,8,-0.2,375,263,295,305,-12.1,-3.2,8,-0.2
2009,-12.9,-3.6,8.4,-0.7,386,228,356,232,-12.9,-3.6,8.4,-0.7
2010,-11.1,-1.8,7.9,-1.7,145,229,300,284,-11.1,-1.8,7.9,-1.7
2011,-13.7,-4.2,8.2,-0.7,287,369,299,268,-13.7,-4.2,8.2,-0.7
2012,-10.7,-2.4,8.9,-1.3,157,337,421,289,-10.7,-2.4,8.9,-1.3
2013,-10,-2.7,9.1,-1,199,337,366,332,-10,-2.7,9.1,-1
2014,-12.4,-3.7,9.4,-0.9,281,414,298,553,-12.4,-3.7,9.4,-0.9
2015,-8.5,-0.5,9.6,-1.1,250,152,323,533,-8.5,-0.5,9.6,-1.1
